ascii_key,row_number,string
" ",1,"     "
" ",2,"     "
" ",3,"     "
" ",4,"     "
" ",5,"     "
" ",6,"     "
"!",1," _ "
"!",2,"| |"
"!",3,"| |"
"!",4,"|_|"
"!",5," _ "
"!",6,"|_|"
"""",1," __ __"
"""",2,"/_//_/"
"""",3,"      "
"""",4,"      "
"""",5,"      "
"""",6,"      "
"#",1,"      __  __ "
"#",2,"   __/ /_/ /_"
"#",3,"  /_  __  __/"
"#",4," __/ /_/ /_  "
"#",5,"/_  __  __/  "
"#",6," /_/ /_/     "
"$",1,"   _   "
"$",2," _| |_ "
"$",3,"/ ____)"
"$",4,"\____ \"
"$",5,"(_   _/"
"$",6,"  |_|  "
"%",1,"  _   __"
"%",2," (_) / /"
"%",3,"    / / "
"%",4,"   / /  "
"%",5,"  / / _ "
"%",6," /_/ (_)"
"&",1,"  ___    "
"&",2," / _ \   "
"&",3," \  _/__ "
"&",4," / /\  / "
"&",5,"/ /_/  \ "
"&",6,"\____/\_\"
"'",1,"  __ "
"'",2," /_/ "
"'",3,"     "
"'",4,"     "
"'",5,"     "
"'",6,"     "
"(",1,"  __"
"(",2," / /"
"(",3,"| | "
"(",4,"| | "
"(",5,"| | "
"(",6," \_\"
")",1,"__  "
")",2,"\ \ "
")",3," | |"
")",4," | |"
")",5," | |"
")",6,"/_/ "
"*",1,"  _  _  _  "
"*",2," _\\| |//_ "
"*",3,"|__     __|"
"*",4,"  //|_|\\  "
"*",5,"           "
"*",6,"           "
"+",1,"       "
"+",2,"   _   "
"+",3," _| |_ "
"+",4,"|_   _|"
"+",5,"  |_|  "
"+",6,"       "
",",1,"   "
",",2,"   "
",",3,"   "
",",4,"__ "
",",5,"\ |"
",",6,"|/ "
"-",1,"     "
"-",2,"     "
"-",3," ___ "
"-",4,"|___|"
"-",5,"     "
"-",6,"     "
".",1,"   "
".",2,"   "
".",3,"   "
".",4,"   "
".",5," _ "
".",6,"(_)"
"/",1,"     __"
"/",2,"    / /"
"/",3,"   / / "
"/",4,"  / /  "
"/",5," / /   "
"/",6,"/_/    "
"0",1,"  ______  "
"0",2," / ___  \ "
"0",3,"| |  //| |"
"0",4,"| | // | |"
"0",5,"| |//__| |"
"0",6," \______/ "
"1",1,"  __   "
"1",2," /_ |  "
"1",3,"  | |  "
"1",4,"  | |  "
"1",5," _| |_ "
"1",6,"|_____|"
"2",1," ___  "
"2",2,"|__ \ "
"2",3,"   ) |"
"2",4,"  / / "
"2",5," / /_ "
"2",6,"|____|"
"3",1," ____  "
"3",2,"|___ \ "
"3",3,"  __) |"
"3",4," |__ < "
"3",5," ___) |"
"3",6,"|____/ "
"4",1," _   _ "
"4",2,"| | | |"
"4",3,"| |_| |"
"4",4,"|___  |"
"4",5,"    | |"
"4",6,"    |_|"
"5",1," _____ "
"5",2,"|  ___|"
"5",3,"| |__  "
"5",4,"|___  \"
"5",5," ___) |"
"5",6,"|_____/"
"6",1,"    __  "
"6",2,"   / /  "
"6",3,"  / /_  "
"6",4," / '_ \ "
"6",5,"| (__) |"
"6",6," \____/ "
"7",1," _____ "
"7",2,"|___  |"
"7",3,"   / / "
"7",4,"  / /  "
"7",5," / /   "
"7",6,"/_/    "
"8",1,"  ___  "
"8",2," / _ \ "
"8",3,"| (_) |"
"8",4," > _ < "
"8",5,"| (_) |"
"8",6," \___/ "
"9",1,"  ___  "
"9",2," / _ \ "
"9",3,"| (_) |"
"9",4," \_  / "
"9",5,"  / /  "
"9",6," /_/   "
"a",1,"          "
"a",2,"    /\    "
"a",3,"   /  \   "
"a",4,"  / /\ \  "
